Meal,calories,proteins
Aloo_puri,330.03,7.6
Aloo_sabji_chapati,369.09,9.39
Chickpeas,32.8,1.78
Dal_rice,215.625,7.44
Idli_sambhar,263.81,262.5
Khichdi,32.8,1.78
Pohe,255.75,4.65
Apple,95,0.5
Bananas,118,1.3
Egg,72,6.3
Milk,149,7.7
